lesson_id,client_id,date,time,branch,program,group,teacher,topic,enrolled,attended,total_absences,excused_absences,student_name,enrollment_status,attendance_flag,duration_academic_hours,duration_clock_hours
52,8,09.01.2025,15:00,Северный,Программирование,C1,Сидорова,Лексика,1,1,0,0,Ученик_8,активна,1,1.0,45
53,8,15.01.2025,11:00,Северный,Английский,B2,Сидорова,Грамматика,1,0,0,0,Ученик_8,заморожена,0,2.0,45
54,8,21.01.2025,14:00,Северный,Математика,C1,Сидорова,Грамматика,1,0,0,0,Ученик_8,заморожена,0,1.5,60
55,8,01.02.2025,10:00,Северный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_8,активна,1,2.0,90
56,8,06.02.2025,10:00,Северный,Математика,C1,Иванов,Разговор,1,1,0,0,Ученик_8,активна,1,1.5,45
57,8,18.02.2025,10:00,Северный,Программирование,C1,Сидорова,Разговор,1,0,0,0,Ученик_8,заморожена,0,1.0,45
58,9,30.07.2025,11:00,Южный,Математика,A1,Петров,Грамматика,1,1,0,0,Ученик_9,активна,1,1.0,60
59,9,04.08.2025,10:00,Южный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_9,активна,1,1.5,90
60,9,14.08.2025,15:00,Южный,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_9,активна,1,2.0,45
61,10,21.08.2024,14:00,Южный,Математика,B2,Сидорова,Лексика,1,1,0,0,Ученик_10,активна,1,1.0,60
62,10,24.08.2024,9:00,Южный,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_10,активна,1,1.0,60
63,10,07.09.2024,18:00,Южный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_10,активна,1,1.5,60
64,11,29.04.2025,10:00,Основной,Программирование,A1,Сидорова,Разговор,1,1,0,0,Ученик_11,активна,1,1.0,60
65,11,06.05.2025,14:00,Основной,Программирование,C1,Сидорова,Разговор,1,1,0,0,Ученик_11,активна,1,1.5,45
66,11,12.05.2025,15:00,Основной,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_11,активна,1,2.0,90
67,11,16.05.2025,19:00,Основной,Английский,A1,Сидорова,Лексика,1,1,0,0,Ученик_11,активна,1,1.0,45
68,11,27.05.2025,16:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_11,активна,1,1.0,45
69,11,01.06.2025,20:00,Основной,Математика,C1,Петров,Лексика,1,1,0,0,Ученик_11,активна,1,1.5,90
70,12,05.11.2025,10:00,Основной,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_12,заморожена,0,1.0,45
71,12,15.11.2025,11:00,Основной,Математика,A1,Сидорова,Грамматика,1,0,0,0,Ученик_12,заморожена,0,2.0,45
72,12,24.11.2025,17:00,Основной,Программирование,A1,Иванов,Лексика,1,1,0,0,Ученик_12,активна,1,2.0,60
73,12,01.12.2025,13:00,Основной,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_12,активна,1,2.0,45
74,12,02.12.2025,17:00,Основной,Математика,C1,Сидорова,Разговор,1,0,0,0,Ученик_12,заморожена,0,2.0,60
75,12,13.12.2025,13:00,Основной,Программирование,B2,Сидорова,Грамматика,1,0,0,0,Ученик_12,заморожена,0,1.0,45
76,13,17.11.2025,13:00,Северный,Английский,C1,Иванов,Лексика,1,0,0,0,Ученик_13,заморожена,0,1.0,60
77,13,24.11.2025,12:00,Северный,Английский,C1,Иванов,Грамматика,1,0,0,0,Ученик_13,заморожена,0,2.0,60
78,13,06.12.2025,20:00,Северный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_13,активна,1,1.5,90
79,13,12.12.2025,9:00,Северный,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_13,активна,1,2.0,60
80,13,17.12.2025,9:00,Северный,Программирование,C1,Сидорова,Грамматика,1,1,0,0,Ученик_13,активна,1,2.0,90
81,13,28.12.2025,13:00,Северный,Программирование,C1,Сидорова,Разговор,1,0,0,0,Ученик_13,заморожена,0,1.0,60
82,14,28.03.2025,12:00,Северный,Программирование,C1,Петров,Грамматика,1,1,0,0,Ученик_14,активна,1,1.5,45
83,14,07.04.2025,16:00,Северный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_14,активна,1,1.0,45
84,14,11.04.2025,20:00,Северный,Английский,C1,Петров,Грамматика,1,1,0,0,Ученик_14,активна,1,1.5,45
85,14,17.04.2025,19:00,Северный,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_14,активна,1,1.0,60
86,15,09.02.2026,19:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_15,активна,1,1.0,90
87,15,13.02.2026,15:00,Северный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,2.0,45
88,15,22.02.2026,10:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_15,активна,1,1.0,45
89,15,28.02.2026,14:00,Северный,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,1.5,90
90,15,13.03.2026,13:00,Северный,Математика,B2,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,1.0,90
91,15,17.03.2026,10:00,Северный,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_15,активна,1,1.5,45
92,15,26.03.2026,12:00,Северный,Английский,A1,Петров,Лексика,1,1,0,0,Ученик_15,активна,1,1.0,60
93,16,05.10.2024,19:00,Основной,Математика,C1,Сидорова,Грамматика,1,1,0,0,Ученик_16,активна,1,1.5,45
94,16,09.10.2024,13:00,Основной,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_16,активна,1,1.0,60
95,16,16.10.2024,18:00,Основной,Английский,A1,Петров,Разговор,1,0,0,0,Ученик_16,заморожена,0,1.5,90
96,16,24.10.2024,11:00,Основной,Программирование,C1,Петров,Разговор,1,1,0,0,Ученик_16,активна,1,1.5,60
97,16,30.10.2024,16:00,Основной,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_16,активна,1,1.0,45
98,16,07.11.2024,11:00,Основной,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_16,заморожена,0,2.0,60
99,16,13.11.2024,15:00,Основной,Программирование,B2,Иванов,Грамматика,1,1,0,0,Ученик_16,активна,1,1.5,45
100,17,21.01.2025,14:00,Южный,Математика,B2,Петров,Лексика,1,0,0,0,Ученик_17,заморожена,0,2.0,60
101,17,31.01.2025,19:00,Южный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_17,активна,1,1.5,90
102,17,09.02.2025,12:00,Южный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_17,активна,1,1.5,90
103,17,12.02.2025,12:00,Южный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_17,активна,1,1.5,90
104,17,23.02.2025,10:00,Южный,Английский,B2,Петров,Грамматика,1,0,0,0,Ученик_17,заморожена,0,1.5,60
105,17,25.02.2025,17:00,Южный,Математика,A1,Иванов,Грамматика,1,0,0,0,Ученик_17,заморожена,0,1.0,90
106,17,04.03.2025,20:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_17,активна,1,1.0,90
107,17,15.03.2025,20:00,Южный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_17,активна,1,1.5,90
108,17,18.03.2025,14:00,Южный,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_17,активна,1,1.0,90
109,17,29.03.2025,11:00,Южный,Математика,C1,Иванов,Разговор,1,1,0,0,Ученик_17,активна,1,2.0,90
110,18,27.04.2025,20:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_18,активна,1,1.0,60
111,18,01.05.2025,19:00,Южный,Английский,C1,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,1.0,45
112,18,13.05.2025,19:00,Южный,Математика,C1,Сидорова,Лексика,1,0,0,0,Ученик_18,заморожена,0,2.0,90
113,18,18.05.2025,15:00,Южный,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,1.5,45
114,18,24.05.2025,9:00,Южный,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,2.0,90
115,18,29.05.2025,16:00,Южный,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_18,заморожена,0,1.5,60
116,18,06.06.2025,14:00,Южный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_18,активна,1,1.0,45
117,18,12.06.2025,14:00,Южный,Английский,A1,Петров,Грамматика,1,1,0,0,Ученик_18,активна,1,2.0,45
118,19,27.02.2025,9:00,Южный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,45
119,19,08.03.2025,18:00,Южный,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_19,активна,1,1.0,45
120,19,17.03.2025,13:00,Южный,Английский,B2,Петров,Лексика,1,1,0,0,Ученик_19,активна,1,2.0,45
121,19,24.03.2025,20:00,Южный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_19,активна,1,1.0,60
122,19,01.04.2025,17:00,Южный,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,60
123,19,09.04.2025,9:00,Южный,Математика,A1,Иванов,Разговор,1,1,0,0,Ученик_19,активна,1,1.5,45
124,19,10.04.2025,12:00,Южный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,45
125,20,12.10.2025,11:00,Северный,Математика,B2,Петров,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,45
126,20,20.10.2025,18:00,Северный,Программирование,A1,Иванов,Разговор,1,1,0,0,Ученик_20,активна,1,2.0,60
127,20,22.10.2025,11:00,Северный,Математика,C1,Иванов,Лексика,1,0,0,0,Ученик_20,заморожена,0,1.0,60
128,20,02.11.2025,13:00,Северный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,60
129,20,05.11.2025,20:00,Северный,Математика,B2,Петров,Лексика,1,1,0,0,Ученик_20,активна,1,1.5,90
130,20,13.11.2025,18:00,Северный,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_20,заморожена,0,1.5,60
131,20,20.11.2025,17:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_20,активна,1,2.0,60
132,20,02.12.2025,19:00,Северный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_20,активна,1,2.0,45
133,20,02.12.2025,10:00,Северный,Математика,B2,Иванов,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,45
134,20,12.12.2025,16:00,Северный,Программирование,A1,Петров,Лексика,1,1,0,0,Ученик_20,активна,1,1.5,90
135,21,30.09.2024,11:00,Основной,Программирование,A1,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,1.0,60
136,21,05.10.2024,14:00,Основной,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_21,активна,1,2.0,60
137,21,08.10.2024,9:00,Основной,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_21,активна,1,2.0,45
138,21,19.10.2024,18:00,Основной,Математика,A1,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,1.5,45
139,21,21.10.2024,9:00,Основной,Программирование,B2,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,2.0,45
140,21,29.10.2024,13:00,Основной,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_21,активна,1,1.5,60
141,21,07.11.2024,13:00,Основной,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_21,активна,1,1.5,60
142,22,29.05.2024,15:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_22,активна,1,1.0,90
143,22,09.06.2024,20:00,Южный,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_22,активна,1,2.0,45
144,22,11.06.2024,18:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_22,активна,1,2.0,90
145,22,22.06.2024,16:00,Южный,Английский,B2,Петров,Грамматика,1,1,0,0,Ученик_22,активна,1,2.0,60
146,22,28.06.2024,9:00,Южный,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_22,активна,1,2.0,90
147,23,16.08.2025,20:00,Основной,Английский,B2,Сидорова,Разговор,1,1,0,0,Ученик_23,активна,1,1.0,90
148,23,28.08.2025,12:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_23,активна,1,1.5,60
149,23,29.08.2025,13:00,Основной,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,2.0,60
150,23,11.09.2025,14:00,Основной,Программирование,B2,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,1.0,45
151,23,19.09.2025,11:00,Основной,Программирование,C1,Иванов,Разговор,1,1,0,0,Ученик_23,активна,1,1.5,60
152,23,23.09.2025,20:00,Основной,Программирование,B2,Сидорова,Лексика,1,0,0,0,Ученик_23,заморожена,0,2.0,90
153,23,27.09.2025,10:00,Основной,Английский,C1,Иванов,Разговор,1,0,0,0,Ученик_23,заморожена,0,1.5,45
154,23,10.10.2025,18:00,Основной,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,2.0,90
155,23,10.10.2025,15:00,Основной,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_23,активна,1,1.5,45
156,24,20.02.2025,10:00,Основной,Математика,B2,Петров,Разговор,1,0,0,0,Ученик_24,заморожена,0,2.0,90
157,24,02.03.2025,14:00,Основной,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_24,активна,1,2.0,60
158,24,07.03.2025,15:00,Основной,Программирование,A1,Иванов,Лексика,1,0,0,0,Ученик_24,заморожена,0,1.0,45
159,24,10.03.2025,14:00,Основной,Программирование,C1,Сидорова,Лексика,1,1,0,0,Ученик_24,активна,1,1.5,45
160,24,23.03.2025,15:00,Основной,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_24,активна,1,1.0,90
161,24,30.03.2025,19:00,Основной,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,1.5,90
162,24,02.04.2025,10:00,Основной,Программирование,A1,Сидорова,Грамматика,1,1,0,0,Ученик_24,активна,1,2.0,90
163,24,13.04.2025,19:00,Основной,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,1.0,45
164,24,15.04.2025,9:00,Основной,Программирование,C1,Иванов,Грамматика,1,1,0,0,Ученик_24,активна,1,2.0,90
165,24,22.04.2025,9:00,Основной,Программирование,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,2.0,90
166,24,03.05.2025,19:00,Основной,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_24,активна,1,1.0,90
167,25,05.12.2025,19:00,Северный,Английский,B2,Иванов,Грамматика,1,1,0,0,Ученик_25,активна,1,2.0,45
168,25,07.12.2025,18:00,Северный,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.5,45
169,25,14.12.2025,14:00,Северный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.0,60
170,25,21.12.2025,19:00,Северный,Английский,A1,Сидорова,Лексика,1,1,0,0,Ученик_25,активна,1,1.5,60
171,25,03.01.2026,11:00,Северный,Математика,A1,Иванов,Разговор,1,1,0,0,Ученик_25,активна,1,2.0,90
172,25,03.01.2026,14:00,Северный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_25,активна,1,2.0,45
173,25,12.01.2026,13:00,Северный,Английский,A1,Сидорова,Грамматика,1,1,0,0,Ученик_25,активна,1,2.0,45
174,25,19.01.2026,14:00,Северный,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.0,45
175,25,25.01.2026,11:00,Северный,Математика,B2,Петров,Грамматика,1,1,0,0,Ученик_25,активна,1,1.0,60
176,25,04.02.2026,16:00,Северный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_25,активна,1,1.5,45
177,26,07.12.2025,20:00,Северный,Математика,B2,Иванов,Разговор,1,0,0,0,Ученик_26,заморожена,0,2.0,60
178,26,13.12.2025,20:00,Северный,Математика,B2,Петров,Лексика,1,0,0,0,Ученик_26,заморожена,0,2.0,90
179,26,22.12.2025,18:00,Северный,Английский,C1,Петров,Лексика,1,0,0,0,Ученик_26,заморожена,0,1.0,90
180,26,30.12.2025,19:00,Северный,Английский,B2,Иванов,Грамматика,1,1,0,0,Ученик_26,активна,1,2.0,60
181,26,07.01.2026,19:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_26,активна,1,1.0,45
182,26,13.01.2026,11:00,Северный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_26,активна,1,2.0,60
183,26,20.01.2026,14:00,Северный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_26,активна,1,1.0,90
184,26,27.01.2026,18:00,Северный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_26,активна,1,1.5,60
185,27,19.11.2025,10:00,Южный,Программирование,B2,Сидорова,Разговор,1,1,0,0,Ученик_27,активна,1,2.0,45
186,27,29.11.2025,15:00,Южный,Математика,B2,Иванов,Грамматика,1,1,0,0,Ученик_27,активна,1,1.0,60
187,27,07.12.2025,13:00,Южный,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_27,активна,1,1.0,90
188,27,12.12.2025,12:00,Южный,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_27,активна,1,2.0,90
189,27,14.12.2025,13:00,Южный,Английский,B2,Иванов,Разговор,1,0,0,0,Ученик_27,заморожена,0,2.0,45
190,27,26.12.2025,10:00,Южный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_27,активна,1,1.5,60
191,27,02.01.2026,15:00,Южный,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_27,активна,1,2.0,45
192,27,10.01.2026,16:00,Южный,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_27,активна,1,2.0,45
193,27,11.01.2026,9:00,Южный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_27,активна,1,2.0,60
194,27,21.01.2026,12:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_27,активна,1,2.0,45
195,28,30.12.2025,9:00,Южный,Английский,A1,Петров,Грамматика,1,0,0,0,Ученик_28,заморожена,0,1.5,60
196,28,08.01.2026,11:00,Южный,Английский,C1,Петров,Грамматика,1,1,0,0,Ученик_28,активна,1,1.0,60
197,28,11.01.2026,15:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_28,активна,1,2.0,90
198,28,19.01.2026,19:00,Южный,Математика,B2,Петров,Разговор,1,1,0,0,Ученик_28,активна,1,1.5,45
199,28,24.01.2026,13:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_28,активна,1,1.0,90
200,28,02.02.2026,10:00,Южный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_28,активна,1,2.0,45
201,29,13.03.2026,12:00,Южный,Математика,A1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,90
202,29,18.03.2026,13:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,45
203,29,22.03.2026,14:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_29,активна,1,1.0,60
204,29,30.03.2026,15:00,Южный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_29,активна,1,2.0,45
205,29,18.03.2026,20:00,Южный,Английский,A1,Иванов,Лексика,1,0,0,0,Ученик_29,заморожена,0,1.0,60
206,29,17.03.2026,16:00,Южный,Математика,B2,Иванов,Разговор,1,1,0,0,Ученик_29,активна,1,1.0,60
207,29,26.03.2026,17:00,Южный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,1.5,60
208,29,29.03.2026,15:00,Южный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_29,активна,1,1.0,60
209,29,13.03.2026,18:00,Южный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,45
210,30,28.02.2026,12:00,Основной,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_30,активна,1,1.5,45
211,30,05.03.2026,13:00,Основной,Английский,C1,Сидорова,Разговор,1,1,0,0,Ученик_30,активна,1,1.5,60
212,30,17.03.2026,20:00,Основной,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_30,активна,1,1.0,45
213,30,23.03.2026,20:00,Основной,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_30,активна,1,1.0,45
214,30,01.04.2026,20:00,Основной,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_30,активна,1,1.0,45
215,30,22.03.2026,11:00,Основной,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_30,активна,1,1.5,45
216,31,10.02.2026,10:00,Основной,Английский,C1,Иванов,Разговор,1,0,0,0,Ученик_31,заморожена,0,1.5,60
217,31,15.02.2026,12:00,Основной,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_31,активна,1,2.0,90
218,31,26.02.2026,17:00,Основной,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_31,активна,1,1.0,60
219,32,15.02.2026,20:00,Южный,Математика,C1,Петров,Разговор,1,1,0,0,Ученик_32,активна,1,1.5,60
