Дата,Время,Филиал,Программа,Группа,Преподаватель,Тема,Записано,Пришло,Пропусков всего,Пропусков по уваж. причине,Ученик,Статус записи в группу,Посещение,Продолж. ас/ч,Продолж. ак/ч
28.03.2025,12:00,Северный,Программирование,C1,Петров,Грамматика,1,1,0,0,Ученик_14,активна,1,1.5,45
07.04.2025,16:00,Северный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_14,активна,1,1.0,45
11.04.2025,20:00,Северный,Английский,C1,Петров,Грамматика,1,1,0,0,Ученик_14,активна,1,1.5,45
17.04.2025,19:00,Северный,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_14,активна,1,1.0,60
09.02.2026,19:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_15,активна,1,1.0,90
13.02.2026,15:00,Северный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,2.0,45
22.02.2026,10:00,Северный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_15,активна,1,1.0,45
28.02.2026,14:00,Северный,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,1.5,90
13.03.2026,13:00,Северный,Математика,B2,Иванов,Грамматика,1,1,0,0,Ученик_15,активна,1,1.0,90
17.03.2026,10:00,Северный,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_15,активна,1,1.5,45
26.03.2026,12:00,Северный,Английский,A1,Петров,Лексика,1,1,0,0,Ученик_15,активна,1,1.0,60
05.10.2024,19:00,Основной,Математика,C1,Сидорова,Грамматика,1,1,0,0,Ученик_16,активна,1,1.5,45
09.10.2024,13:00,Основной,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_16,активна,1,1.0,60
16.10.2024,18:00,Основной,Английский,A1,Петров,Разговор,1,0,0,0,Ученик_16,заморожена,0,1.5,90
24.10.2024,11:00,Основной,Программирование,C1,Петров,Разговор,1,1,0,0,Ученик_16,активна,1,1.5,60
30.10.2024,16:00,Основной,Программирование,B2,Петров,Разговор,1,1,0,0,Ученик_16,активна,1,1.0,45
07.11.2024,11:00,Основной,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_16,заморожена,0,2.0,60
13.11.2024,15:00,Основной,Программирование,B2,Иванов,Грамматика,1,1,0,0,Ученик_16,активна,1,1.5,45
21.01.2025,14:00,Южный,Математика,B2,Петров,Лексика,1,0,0,0,Ученик_17,заморожена,0,2.0,60
31.01.2025,19:00,Южный,Английский,B2,Петров,Разговор,1,1,0,0,Ученик_17,активна,1,1.5,90
09.02.2025,12:00,Южный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_17,активна,1,1.5,90
12.02.2025,12:00,Южный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_17,активна,1,1.5,90
23.02.2025,10:00,Южный,Английский,B2,Петров,Грамматика,1,0,0,0,Ученик_17,заморожена,0,1.5,60
25.02.2025,17:00,Южный,Математика,A1,Иванов,Грамматика,1,0,0,0,Ученик_17,заморожена,0,1.0,90
04.03.2025,20:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_17,активна,1,1.0,90
15.03.2025,20:00,Южный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_17,активна,1,1.5,90
18.03.2025,14:00,Южный,Английский,A1,Иванов,Грамматика,1,1,0,0,Ученик_17,активна,1,1.0,90
29.03.2025,11:00,Южный,Математика,C1,Иванов,Разговор,1,1,0,0,Ученик_17,активна,1,2.0,90
27.04.2025,20:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_18,активна,1,1.0,60
01.05.2025,19:00,Южный,Английский,C1,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,1.0,45
13.05.2025,19:00,Южный,Математика,C1,Сидорова,Лексика,1,0,0,0,Ученик_18,заморожена,0,2.0,90
18.05.2025,15:00,Южный,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,1.5,45
24.05.2025,9:00,Южный,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_18,активна,1,2.0,90
29.05.2025,16:00,Южный,Математика,B2,Сидорова,Разговор,1,0,0,0,Ученик_18,заморожена,0,1.5,60
06.06.2025,14:00,Южный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_18,активна,1,1.0,45
12.06.2025,14:00,Южный,Английский,A1,Петров,Грамматика,1,1,0,0,Ученик_18,активна,1,2.0,45
27.02.2025,9:00,Южный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,45
08.03.2025,18:00,Южный,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_19,активна,1,1.0,45
17.03.2025,13:00,Южный,Английский,B2,Петров,Лексика,1,1,0,0,Ученик_19,активна,1,2.0,45
24.03.2025,20:00,Южный,Математика,A1,Сидорова,Разговор,1,1,0,0,Ученик_19,активна,1,1.0,60
01.04.2025,17:00,Южный,Английский,C1,Иванов,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,60
09.04.2025,9:00,Южный,Математика,A1,Иванов,Разговор,1,1,0,0,Ученик_19,активна,1,1.5,45
10.04.2025,12:00,Южный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_19,активна,1,2.0,45
12.10.2025,11:00,Северный,Математика,B2,Петров,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,45
20.10.2025,18:00,Северный,Программирование,A1,Иванов,Разговор,1,1,0,0,Ученик_20,активна,1,2.0,60
22.10.2025,11:00,Северный,Математика,C1,Иванов,Лексика,1,0,0,0,Ученик_20,заморожена,0,1.0,60
02.11.2025,13:00,Северный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,60
05.11.2025,20:00,Северный,Математика,B2,Петров,Лексика,1,1,0,0,Ученик_20,активна,1,1.5,90
13.11.2025,18:00,Северный,Математика,A1,Петров,Лексика,1,0,0,0,Ученик_20,заморожена,0,1.5,60
20.11.2025,17:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_20,активна,1,2.0,60
02.12.2025,19:00,Северный,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_20,активна,1,2.0,45
02.12.2025,10:00,Северный,Математика,B2,Иванов,Разговор,1,1,0,0,Ученик_20,активна,1,1.5,45
12.12.2025,16:00,Северный,Программирование,A1,Петров,Лексика,1,1,0,0,Ученик_20,активна,1,1.5,90
30.09.2024,11:00,Основной,Программирование,A1,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,1.0,60
05.10.2024,14:00,Основной,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_21,активна,1,2.0,60
08.10.2024,9:00,Основной,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_21,активна,1,2.0,45
19.10.2024,18:00,Основной,Математика,A1,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,1.5,45
21.10.2024,9:00,Основной,Программирование,B2,Петров,Лексика,1,1,0,0,Ученик_21,активна,1,2.0,45
29.10.2024,13:00,Основной,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_21,активна,1,1.5,60
07.11.2024,13:00,Основной,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_21,активна,1,1.5,60
29.05.2024,15:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_22,активна,1,1.0,90
09.06.2024,20:00,Южный,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_22,активна,1,2.0,45
11.06.2024,18:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_22,активна,1,2.0,90
22.06.2024,16:00,Южный,Английский,B2,Петров,Грамматика,1,1,0,0,Ученик_22,активна,1,2.0,60
28.06.2024,9:00,Южный,Математика,A1,Сидорова,Лексика,1,1,0,0,Ученик_22,активна,1,2.0,90
16.08.2025,20:00,Основной,Английский,B2,Сидорова,Разговор,1,1,0,0,Ученик_23,активна,1,1.0,90
28.08.2025,12:00,Основной,Английский,C1,Сидорова,Грамматика,1,1,0,0,Ученик_23,активна,1,1.5,60
29.08.2025,13:00,Основной,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,2.0,60
11.09.2025,14:00,Основной,Программирование,B2,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,1.0,45
19.09.2025,11:00,Основной,Программирование,C1,Иванов,Разговор,1,1,0,0,Ученик_23,активна,1,1.5,60
23.09.2025,20:00,Основной,Программирование,B2,Сидорова,Лексика,1,0,0,0,Ученик_23,заморожена,0,2.0,90
27.09.2025,10:00,Основной,Английский,C1,Иванов,Разговор,1,0,0,0,Ученик_23,заморожена,0,1.5,45
10.10.2025,18:00,Основной,Программирование,A1,Сидорова,Лексика,1,1,0,0,Ученик_23,активна,1,2.0,90
10.10.2025,15:00,Основной,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_23,активна,1,1.5,45
20.02.2025,10:00,Основной,Математика,B2,Петров,Разговор,1,0,0,0,Ученик_24,заморожена,0,2.0,90
02.03.2025,14:00,Основной,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_24,активна,1,2.0,60
07.03.2025,15:00,Основной,Программирование,A1,Иванов,Лексика,1,0,0,0,Ученик_24,заморожена,0,1.0,45
10.03.2025,14:00,Основной,Программирование,C1,Сидорова,Лексика,1,1,0,0,Ученик_24,активна,1,1.5,45
23.03.2025,15:00,Основной,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_24,активна,1,1.0,90
30.03.2025,19:00,Основной,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,1.5,90
02.04.2025,10:00,Основной,Программирование,A1,Сидорова,Грамматика,1,1,0,0,Ученик_24,активна,1,2.0,90
13.04.2025,19:00,Основной,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,1.0,45
15.04.2025,9:00,Основной,Программирование,C1,Иванов,Грамматика,1,1,0,0,Ученик_24,активна,1,2.0,90
22.04.2025,9:00,Основной,Программирование,C1,Иванов,Лексика,1,1,0,0,Ученик_24,активна,1,2.0,90
03.05.2025,19:00,Основной,Английский,B2,Иванов,Разговор,1,1,0,0,Ученик_24,активна,1,1.0,90
05.12.2025,19:00,Северный,Английский,B2,Иванов,Грамматика,1,1,0,0,Ученик_25,активна,1,2.0,45
07.12.2025,18:00,Северный,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.5,45
14.12.2025,14:00,Северный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.0,60
21.12.2025,19:00,Северный,Английский,A1,Сидорова,Лексика,1,1,0,0,Ученик_25,активна,1,1.5,60
03.01.2026,11:00,Северный,Математика,A1,Иванов,Разговор,1,1,0,0,Ученик_25,активна,1,2.0,90
03.01.2026,14:00,Северный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_25,активна,1,2.0,45
12.01.2026,13:00,Северный,Английский,A1,Сидорова,Грамматика,1,1,0,0,Ученик_25,активна,1,2.0,45
19.01.2026,14:00,Северный,Английский,A1,Иванов,Лексика,1,1,0,0,Ученик_25,активна,1,1.0,45
25.01.2026,11:00,Северный,Математика,B2,Петров,Грамматика,1,1,0,0,Ученик_25,активна,1,1.0,60
04.02.2026,16:00,Северный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_25,активна,1,1.5,45
07.12.2025,20:00,Северный,Математика,B2,Иванов,Разговор,1,0,0,0,Ученик_26,заморожена,0,2.0,60
13.12.2025,20:00,Северный,Математика,B2,Петров,Лексика,1,0,0,0,Ученик_26,заморожена,0,2.0,90
22.12.2025,18:00,Северный,Английский,C1,Петров,Лексика,1,0,0,0,Ученик_26,заморожена,0,1.0,90
30.12.2025,19:00,Северный,Английский,B2,Иванов,Грамматика,1,1,0,0,Ученик_26,активна,1,2.0,60
07.01.2026,19:00,Северный,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_26,активна,1,1.0,45
13.01.2026,11:00,Северный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_26,активна,1,2.0,60
20.01.2026,14:00,Северный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_26,активна,1,1.0,90
27.01.2026,18:00,Северный,Математика,A1,Сидорова,Грамматика,1,1,0,0,Ученик_26,активна,1,1.5,60
19.11.2025,10:00,Южный,Программирование,B2,Сидорова,Разговор,1,1,0,0,Ученик_27,активна,1,2.0,45
29.11.2025,15:00,Южный,Математика,B2,Иванов,Грамматика,1,1,0,0,Ученик_27,активна,1,1.0,60
07.12.2025,13:00,Южный,Математика,A1,Иванов,Лексика,1,1,0,0,Ученик_27,активна,1,1.0,90
12.12.2025,12:00,Южный,Программирование,A1,Петров,Грамматика,1,1,0,0,Ученик_27,активна,1,2.0,90
14.12.2025,13:00,Южный,Английский,B2,Иванов,Разговор,1,0,0,0,Ученик_27,заморожена,0,2.0,45
26.12.2025,10:00,Южный,Математика,A1,Петров,Разговор,1,1,0,0,Ученик_27,активна,1,1.5,60
02.01.2026,15:00,Южный,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_27,активна,1,2.0,45
10.01.2026,16:00,Южный,Математика,C1,Иванов,Лексика,1,1,0,0,Ученик_27,активна,1,2.0,45
11.01.2026,9:00,Южный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_27,активна,1,2.0,60
21.01.2026,12:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_27,активна,1,2.0,45
30.12.2025,9:00,Южный,Английский,A1,Петров,Грамматика,1,0,0,0,Ученик_28,заморожена,0,1.5,60
08.01.2026,11:00,Южный,Английский,C1,Петров,Грамматика,1,1,0,0,Ученик_28,активна,1,1.0,60
11.01.2026,15:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_28,активна,1,2.0,90
19.01.2026,19:00,Южный,Математика,B2,Петров,Разговор,1,1,0,0,Ученик_28,активна,1,1.5,45
24.01.2026,13:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_28,активна,1,1.0,90
02.02.2026,10:00,Южный,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_28,активна,1,2.0,45
13.03.2026,12:00,Южный,Математика,A1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,90
18.03.2026,13:00,Южный,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,45
22.03.2026,14:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_29,активна,1,1.0,60
30.03.2026,15:00,Южный,Английский,C1,Петров,Разговор,1,1,0,0,Ученик_29,активна,1,2.0,45
18.03.2026,20:00,Южный,Английский,A1,Иванов,Лексика,1,0,0,0,Ученик_29,заморожена,0,1.0,60
17.03.2026,16:00,Южный,Математика,B2,Иванов,Разговор,1,1,0,0,Ученик_29,активна,1,1.0,60
26.03.2026,17:00,Южный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,1.5,60
29.03.2026,15:00,Южный,Программирование,B2,Иванов,Лексика,1,1,0,0,Ученик_29,активна,1,1.0,60
13.03.2026,18:00,Южный,Математика,C1,Петров,Грамматика,1,1,0,0,Ученик_29,активна,1,2.0,45
28.02.2026,12:00,Основной,Английский,A1,Иванов,Разговор,1,1,0,0,Ученик_30,активна,1,1.5,45
05.03.2026,13:00,Основной,Английский,C1,Сидорова,Разговор,1,1,0,0,Ученик_30,активна,1,1.5,60
17.03.2026,20:00,Основной,Программирование,B2,Петров,Грамматика,1,1,0,0,Ученик_30,активна,1,1.0,45
23.03.2026,20:00,Основной,Программирование,B2,Сидорова,Грамматика,1,1,0,0,Ученик_30,активна,1,1.0,45
01.04.2026,20:00,Основной,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_30,активна,1,1.0,45
22.03.2026,11:00,Основной,Английский,C1,Петров,Лексика,1,1,0,0,Ученик_30,активна,1,1.5,45
10.02.2026,10:00,Основной,Английский,C1,Иванов,Разговор,1,0,0,0,Ученик_31,заморожена,0,1.5,60
15.02.2026,12:00,Основной,Математика,A1,Иванов,Грамматика,1,1,0,0,Ученик_31,активна,1,2.0,90
26.02.2026,17:00,Основной,Программирование,A1,Иванов,Грамматика,1,1,0,0,Ученик_31,активна,1,1.0,60
15.02.2026,20:00,Южный,Математика,C1,Петров,Разговор,1,1,0,0,Ученик_32,активна,1,1.5,60
22.02.2026,14:00,Южный,Математика,C1,Петров,Разговор,1,1,0,0,Ученик_32,активна,1,2.0,90
03.03.2026,19:00,Южный,Программирование,C1,Сидорова,Грамматика,1,1,0,0,Ученик_32,активна,1,1.0,60
06.03.2026,11:00,Южный,Математика,B2,Иванов,Грамматика,1,1,0,0,Ученик_32,активна,1,2.0,90
16.03.2026,20:00,Южный,Английский,A1,Петров,Разговор,1,1,0,0,Ученик_32,активна,1,1.0,60
24.03.2026,17:00,Южный,Английский,B2,Сидорова,Лексика,1,0,0,0,Ученик_32,заморожена,0,1.5,60
30.03.2026,13:00,Южный,Математика,A1,Иванов,Разговор,1,0,0,0,Ученик_32,заморожена,0,2.0,90
12.11.2025,10:00,Южный,Математика,B2,Сидорова,Лексика,1,1,0,0,Ученик_33,активна,1,1.5,45
14.11.2025,19:00,Южный,Английский,B2,Сидорова,Грамматика,1,1,0,0,Ученик_33,активна,1,2.0,60
23.11.2025,13:00,Южный,Английский,B2,Иванов,Лексика,1,1,0,0,Ученик_33,активна,1,1.0,45
02.12.2025,10:00,Южный,Английский,B2,Петров,Грамматика,1,1,0,0,Ученик_33,активна,1,1.5,60
05.12.2025,11:00,Южный,Математика,B2,Сидорова,Разговор,1,1,0,0,Ученик_33,активна,1,2.0,45
13.12.2025,11:00,Южный,Программирование,A1,Петров,Разговор,1,1,0,0,Ученик_33,активна,1,1.0,60
22.12.2025,14:00,Южный,Английский,C1,Сидорова,Лексика,1,1,0,0,Ученик_33,активна,1,1.5,60
27.12.2025,13:00,Южный,Программирование,B2,Иванов,Разговор,1,1,0,0,Ученик_33,активна,1,1.5,90
